Динамика поголовья основных видов скота в сельскохозяйственных организациях;;;;;
"на конец месяца; в процентах к соответствующей дате предыдущего года";;;;;
;Крупный рогатый скот;Из него коровы;Свиньи;Овцы и козы;Птица
2025 г.;;;;;
Январь;91.6;92.9;96.6;116.6;103.6
Февраль;91.4;92.8;98.2;130.9;103
Март;92;93.2;98.5;140.9;101.1
Апрель;94;94.5;97.1;146.6;101.4
Май;94.8;95.3;98.5;153.4;100.5
Июнь;95.5;96.5;96.3;169.3;100.3
Июль;96.4;97.2;97.8;186.2;99.6
Август;97.6;98.8;98.4;195.6;101.3
2024 г.;;;;;
Январь;96.3;96.6;97.3;"2;9р";106.5
Февраль;94.6;95.4;95.3;"2;9р";106.7
Март;93.3;95.2;97.2;"2;8р";105.3
Апрель;92;94.8;96.9;"2;6р";108.4
Май;91.9;95;95.9;"2;2р";111.7
Июнь;92.1;94.1;100.1;199.9;117.1
Июль;91.3;92.8;102.1;161.9;114.7
Август;90.8;91.8;101.3;142.7;108.3
Сентябрь;91.1;92.2;100.2;169.7;109.2
Октябрь;90.3;91.5;97.9;151.7;102.6
Ноябрь;90.2;91.1;98.1;139.1;100.9
Декабрь;92.2;92.1;96.6;114.2;100.4
