К содержанию,,,,,,,,,,,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 1998-2015 гг. (в текущих ценах; миллионов рублей),,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Валовой региональный продукт по субъектам Российской Федерации (валовая добавленная стоимость в основных ценах),2251977.5,3827375.5,5753671.6,7170968.2,8741219.2,10742423.3,13964305.4,18034385.2,22492119.6,27963955.6,33908756.7,32007228.1,37687768.2,45392276.7,49926068.7,54103000.3,59188270.3,65750633.6
Центральный федеральный округ,634372,1190894.4,1841498.9,2243525,2878664.5,3577142.5,4617086.1,6278359.2,7965169.5,10208917.7,12674395.4,11405184,13444440.1,16062123.8,17432294.6,19160905.7,20866362,22663758.1
Белгородская область,18245.5,32060.6,42074.5,49941.8,62404.4,76054.5,114409.3,144987.8,178846.1,237013.3,317656.3,304345.3,398361.4,507839.8,545517.2,569006.4,619677.7,693379.4
Брянская область,11051.3,16809.4,24650.5,30110.3,37374.1,43700.3,51003.4,66692.3,82100.4,102706.2,125834.4,126477.4,147024,174211.8,207397.5,219502.8,242722.4,271782.5
Владимирская область,14936.9,24481,33017.7,42075.4,50359.9,61818.6,74207,86926.8,112841.7,146663,175395.7,185824.6,224759.2,261222.6,286018.6,306641.4,328064.2,368489.2
Воронежская область,22381.9,36278.8,49523.9,60014.6,83001.1,100143.3,117197.6,133586.6,166176.5,222811.9,287072.1,301729.1,346568.2,474973.9,563965.4,611720.4,717667.2,805969.6
Ивановская область,8278.4,11743.6,16900,22175.9,26981.3,33214.6,40159.4,44415.4,55090,74752,86980.3,87061.9,109884.5,128905.4,136115,158228.7,151876.8,180517.5
Калужская область,10097.3,16009.8,23903.3,31860,37283.1,48792.7,57993.8,70953.9,86150.5,111869,150394.4,154946.1,188601.3,234749,285256.6,292841,326459.5,339760.8
Костромская область,8478.9,13363.6,16662.2,22221.5,25952.9,29692.1,37787.4,44684.7,54351.1,65700.4,81040.7,78920.7,98130.7,116629.8,130840.4,139015.9,146731.5,160579.8
Курская область,15507.9,22033.9,30167.7,36399.8,45309.4,56383.1,76506.1,86624.9,104035.7,128799,167865.8,161570.9,193648.6,228851.4,248213.1,271542.5,298287.3,336999.4
