          К содержанию,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 2016-2023 гг.1)2) (в текущих ценах; миллионов рублей),,,,,,,,
,2016,2017,2018,2019,2020,2021,20222),20232)
Валовой региональный продукт по субъектам Российской Федерации (валовая добавленная стоимость в основных ценах),74120174.8,79745093.9,90202901.5,95060662.3,94410215.3,122199665.2,139504435.5,157074172.0
Центральный федеральный округ,25995587.5,27915455,31191756.5,33139758.1,34167817.7,41592339,46522155.1,54101687.1
Белгородская область,778027.8,837306.8,911597.9,955329.2,997330.9,1359965.6,1282187.9,1341408.9
Брянская область,316489.4,341177.8,367157.1,399113.8,414179.4,482669.4,547720.9,627017.8
Владимирская область,431549.8,449849.2,480027.8,535493.4,553092.4,730328.8,779080.5,893416.3
Воронежская область,827928.6,873429.4,951292.3,1001790.3,1062765.4,1273851.9,1363025.6,1494401.9
Ивановская область,205818.6,212464.7,232493.6,254968.9,269508.8,308392.2,362816.5,435227.7
Калужская область,409462.3,457052.5,507632.2,549755.8,561895.8,671155.5,687651.6,792281.5
Костромская область,170225.1,178485.6,191812.9,203821.4,204114.1,247508,275038.3,316018.2
Курская область,379011.3,404759.8,451000.5,495864.4,523000.5,688469.1,663507.8,747687.1
Липецкая область,501263.5,522266.2,604396.2,570022.9,618273.1,853038.4,780138.9,950272.5
Московская область,4206506,4290261.2,4644635,5196136.4,5406076.5,6809951.1,7774430,9244579.6
Орловская область,228583.1,231118.4,247105.5,266655.6,282883.7,338266.1,366295.8,398720.4
Рязанская область,366211.3,395276.9,416183.2,436417.7,461214.6,544053.6,614419.9,692685.4
Смоленская область,283725.5,313615.8,335059.9,349237.6,365048.1,428827.5,483282.4,556552.9
Тамбовская область,320623.4,320572.4,352202.6,353745.5,376258.7,442996.9,452306.1,522646.8
Тверская область,397438.9,420671.5,471065.5,488367.5,486599.1,564548.5,620842.8,750838.4
Тульская область,552308.4,594407.6,666763,676822.6,713110.4,887541.1,1002419.4,1149160.2
Ярославская область,498880.3,534549.7,583605.3,609150.8,611748.5,695015.4,740598.6,849769.9
г.Москва,15121534.2,16538189.5,18777726,19797064.3,20260717.7,24265759.9,27726392.1,32339001.6
Северо-Западный федеральный округ,8399737.4,8814880.8,9865793.3,10577620.1,10742733.5,16682107,18927288.3,19262161.6
Республика Карелия,248140.4,270802.5,300977.1,319050,322803.6,447564.1,392693.2,434291.1
Республика Коми,578649.1,608574.5,696242.2,718138.7,613266.9,869995.8,971635,1049365.5
Архангельская область,713043.9,759206.5,865723.3,889974.4,781819,1080494.9,1189495,1263045.1
в т.ч. Ненецкий авт. округ,261772.5,265790.9,320405.7,330999,230674.3,409388.3,489207.2,501455.5
Архангельская область без Ненецкого авт.округа,451271.4,493415.6,545317.6,558975.4,551144.7,671106.7,700287.8,761589.6
Вологодская область,509931.7,542663.4,615647.7,632759.5,624437.1,1026496.5,1020858.9,1081822.9
Калининградская область,417094.9,446677.6,493302.4,520951.2,549311.2,683811.6,733450.2,785205.9
Ленинградская область,953668.3,1002543.3,1147644.4,1223679.6,1238641.3,1473287.1,1660133.9,1915187.7
Мурманская область,467006.5,479352.8,521051.5,616504.1,798450.1,1106607.7,1152107.7,1127497.3
Новгородская область,253056.8,256165.8,259255.8,273808,279689.3,345664.3,377578.5,408968.1
Псковская область,159206.1,165858.1,180730.3,196625.3,201756.7,227739.7,255842.8,288750
г.Санкт-Петербург,4099939.7,4283036.3,4785218.6,5186129.3,5332558.3,9420445.3,11173493.1,10908028
Южный федеральный округ,5448896.2,5833454.2,6320333,6611731.6,6783875.1,8131122.2,9771228.1,10993340.8
