К содержанию,,,,,,,,
Строительство жилых домов по субъектам Российской Федерации в январе-сентябре 2025 года1,,,,,,,,
(тысяч квадратных метров общей площади жилых помещений),,,,,,,,
,"Введено, тыс кв м общей площади жилых помещений",,,,"Из общего объема - введено населением, тыс кв м общей площади жилых помещений",,,
,за январь-сентябрь 2025 года,в % к январю-сентябрю 2024 года,в том числе за сентябрь 2025 года,в % к сентябрю 2024 года,за январь-сентябрь 2025 года,в % к январю-сентябрю 2024 года,в том числе за сентябрь 2025 года,в % к сентябрю 2024 года
Российская Федерация,76564.99,94.37,9034.55,91.7,52331.37,94.4,5066.63,88.36
Центральный федеральный округ,22630.51,102.37,2721.15,91.64,15118.22,97.26,1476.6,81.62
Белгородская область,590.81,91.23,81.47,140.55,508.39,90.2,64.99,133.48
Брянская область,332.6,63.06,24.57,86.71,233.49,61.77,24.57,86.71
Владимирская область,815.18,97.32,101.53,114.37,648.28,88.54,59.06,86.2
Воронежская область,1274.17,93.62,141.25,85.85,690.32,73.94,72.07,71.27
Ивановская область,429.03,117.77,61.23,118.58,337.37,120.37,31.94,99.17
Калужская область,713.01,89.26,67.59,73.12,644.48,98.13,62.61,75.38
Костромская область,314.79,117.76,10.73,27.6,236.33,111.59,5.0,17.95
Курская область,572.5,112.43,50.35,77.39,442.41,119.22,47.26,73.22
Липецкая область,417.93,91.07,85.05,161.55,325.41,85.92,50.18,110.59
Московская область,9775.99,104.11,1153.69,88.25,7953.58,101.62,786.8,84.71
Орловская область,273.63,93.13,35.03,48.54,167.52,95.19,12.61,54.57
Рязанская область,463.35,96.89,37.46,57.68,359.24,120.17,37.46,117.08
Смоленская область,371.87,86.82,22.12,37.15,251.4,91.23,3.3,20.59
Тамбовская область,291.62,95.47,38.87,149.96,215.63,84.78,16.65,84.3
Тверская область,709.44,90.22,81.56,73.78,622.86,105.96,58.46,70.14
Тульская область,596.88,78.62,54.38,56.22,505.36,87.9,51.1,74.16
Ярославская область,694.3,93.07,105.77,118.82,493.55,103.02,45.53,64.75
г.Москва,3993.41,126.87,568.51,113.0,482.59,85.5,47.02,69.97
Северо-Западный федеральный округ,7787.39,95.18,893.13,93.58,4907.94,108.96,473.12,101.51
Республика Карелия,281.76,125.59,40.09,239.08,209.11,112.73,20.08,119.73
Республика Коми,161.37,99.65,14.81,87.3,113.58,104.18,13.72,106.21
Архангельская область,335.17,99.0,32.21,278.3,194.23,119.04,20.43,583.63
Ненецкий АО,25.66,105.12,3.48,152.74,14.68,106.23,2.48,163.83
Архангельская область (кроме Ненецкого АО),309.51,98.53,28.73,309.06,179.55,120.23,17.95,904.03
Вологодская область,629.14,114.82,65.66,106.02,474.66,122.63,40.45,89.53
Калининградская область,784.51,93.8,130.23,99.25,521.18,105.69,47.02,83.29
Ленинградская область,3327.44,96.27,440.87,97.57,2747.34,107.01,275.18,101.37
Мурманская область,93.25,146.52,11.62,217.46,86.89,155.84,8.84,165.44
Новгородская область,307.01,107.63,23.95,57.51,251.97,122.69,19.54,93.74
Псковская область,211.95,76.03,22.65,62.68,148.56,71.49,16.29,88.97
г.Санкт-Петербург,1655.79,83.25,111.03,61.34,160.42,123.42,11.57,75.55
Южный федеральный округ,9783.4,93.52,1125.04,70.68,6786.23,94.12,702.66,88.48
Республика Адыгея (Адыгея),477.14,118.98,49.16,175.13,314.89,103.73,33.17,162.74
Республика Калмыкия,79.01,89.25,7.28,46.86,69.84,91.84,7.28,84.29
Республика Крым,1021.99,101.47,121.18,162.65,884.62,104.73,87.7,134.69
Краснодарский край,4600.91,89.67,498.27,56.85,2990.88,91.2,313.31,83.89
Астраханская область,605.6,123.55,54.47,84.4,516.51,115.14,54.09,83.89
Волгоградская область,880.34,97.89,124.47,73.67,577.42,113.16,51.26,66.97
Ростовская область,1896.24,85.8,245.31,72.02,1220.23,78.37,130.94,80.63
г.Севастополь,222.17,94.77,24.9,107.58,211.84,110.96,24.9,107.58
Северо-Кавказский федеральный округ,5466.86,73.78,507.6,80.15,4191.42,71.33,415.56,98.56
Республика Дагестан,1160.58,42.83,125.57,90.75,897.47,40.05,107.59,149.73
Республика Ингушетия,129.42,89.95,7.77,91.14,114.58,113.54,7.77,91.14
Кабардино-Балкарская Республика,459.66,101.26,48.36,95.02,382.61,108.56,30.39,81.45
Карачаево-Черкесская Республика,251.72,87.91,25.55,82.53,232.42,88.18,19.01,61.71
Республика Северная Осетия-Алания,371.04,82.42,20.25,59.43,188.28,82.73,20.25,97.11
Чеченская Республика,1441.21,86.71,151.44,111.54,1315.59,87.35,151.44,111.54
Ставропольский край,1653.23,97.02,128.66,54.81,1060.47,89.56,79.11,67.91
Приволжский федеральный округ,13213.34,88.25,1469.79,91.7,9384.15,87.39,900.38,86.72
Республика Башкортостан,1665.7,73.84,252.09,74.44,1410.69,77.1,181.75,76.69
Республика Марий Эл,301.84,84.81,32.92,79.65,202.69,84.13,20.45,79.32
Республика Мордовия,174.81,77.26,17.57,55.28,126.09,71.59,14.27,80.18
Республика Татарстан (Татарстан),2980.54,102.43,132.64,117.51,2215.43,107.52,100.02,125.03
Удмуртская Республика,1040.34,90.94,109.71,74.35,540.04,79.02,55.77,80.35
Чувашская Республика - Чувашия,630.76,107.34,62.4,96.71,353.28,118.1,25.74,72.41
Пермский край,1328.08,107.84,132.24,79.19,875.3,95.35,88.58,76.46
Кировская область,389.69,101.62,67.82,169.72,254.49,82.58,25.55,82.92
Нижегородская область,1259.21,73.78,171.27,127.81,877.77,74.89,102.73,120.58
Оренбургская область,908.66,89.54,97.23,81.69,710.38,87.45,69.34,78.41
Пензенская область,555.06,79.61,99.58,140.96,333.39,88.15,35.22,86.87
Самарская область,1115.19,78.89,181.26,96.41,811.8,75.79,106.41,90.15
Саратовская область,508.94,84.54,60.36,67.17,429.83,88.8,45.49,82.2
Ульяновская область,354.52,79.85,52.7,91.58,242.95,79.79,29.05,75.45
Уральский федеральный округ,6814.23,96.96,993.51,125.0,4277.66,100.79,373.35,112.61
Курганская область,322.78,110.01,36.6,112.76,206.57,91.85,20.93,76.26
Свердловская область,2460.69,101.61,282.66,127.76,1562.58,103.27,122.39,339.96
Тюменская область,2545.99,93.56,488.85,154.69,1376.42,99.85,138.66,99.92
Ханты-Мансийский АО-Югра,434.76,80.93,69.44,110.45,251.95,99.87,24.35,98.59
Ямало-Ненецкий АО,218.36,86.55,65.26,226.24,73.51,74.13,7.64,71.21
Тюменская область (без автономных округов),1892.87,97.99,354.14,157.89,1050.97,102.33,106.68,103.22
Челябинская область,1484.78,93.29,185.39,82.38,1132.09,100.38,91.36,70.64
Сибирский федеральный округ,7525.71,100.37,859.64,94.45,5497.31,108.53,495.15,80.29
Республика Алтай,294.17,140.18,26.39,128.79,291.76,153.5,26.31,128.42
Республика Тыва,405.7,128.72,18.1,25.14,340.85,120.32,9.46,15.61
Республика Хакасия,373.68,114.3,24.75,56.32,278.31,135.7,13.89,58.61
Алтайский край,690.13,89.87,59.97,71.53,518.44,93.54,48.4,70.5
Красноярский край,1046.47,102.24,163.5,144.69,715.58,111.37,70.08,105.92
Иркутская область,1531.32,122.48,152.63,104.6,1308.23,121.2,104.29,84.19
Кемеровская область - Кузбасс,553.99,94.2,108.1,131.61,365.04,86.35,79.09,179.0
Новосибирская область,1736.09,86.29,214.92,83.66,981.65,106.38,81.02,68.55
Омская область,681.54,102.29,64.94,99.42,542.27,97.06,38.59,60.0
Томская область,212.61,62.88,26.33,99.14,155.18,75.14,24.01,90.4
Дальневосточный федеральный округ,3343.55,96.17,464.7,117.54,2168.45,96.19,229.81,89.7
Республика Бурятия,521.96,101.55,42.71,90.32,379.08,100.44,40.62,85.91
Республика Саха (Якутия),599.08,99.61,115.14,160.88,428.07,106.19,52.56,87.61
Забайкальский край,308.14,84.1,20.02,66.43,266.12,87.06,20.02,67.22
Камчатский край,62.12,103.41,7.4,166.99,57.49,107.09,6.51,148.71
Приморский край,1025.49,107.43,150.36,137.87,556.98,103.65,52.97,95.15
Хабаровский край,410.63,110.76,58.77,93.98,196.96,101.71,21.02,98.75
Амурская область,196.03,58.64,40.97,120.32,136.03,75.82,20.31,116.92
