К содержанию;;;;;;;;
Строительство жилых домов по субъектам Российской Федерации в январе-июле 2025 года1;;;;;;;;
(тысяч квадратных метров общей площади жилых помещений);;;;;;;;
;"Введено; тыс кв м общей площади жилых помещений";;;;"Из общего объема - введено населением; тыс кв м общей площади жилых помещений";;;
;за январь-июль 2025 года;в % к январю-июлю 2024 года;в том числе за июль 2025 года;в % к июлю 2024 года;за январь-июль 2025 года;в % к январю-июлю 2024 года;в том числе за июль 2025 года;в % к июлю 2024 года
Российская Федерация;59596.04;96.03;7440.28;86.19;42159.94;96.72;4889.24;85.62
Центральный федеральный округ;17378.19;105.9;2098.09;79.21;12223.4;102.83;1404.86;79.28
Белгородская область;435.1;84.35;94.77;111.18;376.79;82.73;73.37;111.95
Брянская область;273.92;58.33;43.16;146.96;183.53;56.8;29.04;119.32
Владимирская область;625.81;95.85;121.8;165.73;531.03;90.95;91.4;124.88
Воронежская область;1024.24;98.73;105.97;56.46;546.83;75.44;70.11;65.74
Ивановская область;332.38;121.38;35.66;79.97;279.61;127.42;25.34;74.11
Калужская область;569.29;92.56;67.97;92.24;521.03;104.06;61.15;82.99
Костромская область;271.32;127.82;34.77;107.22;208.77;124.23;20.32;95.19
Курская область;463.11;116.28;64.02;73.47;350.57;134.26;40.89;96.75
Липецкая область;281.23;85.77;32.74;75.31;240.05;82.34;32.49;83.23
Московская область;7649.91;110.76;1000.61;90.71;6435.97;108.96;713.6;78.71
Орловская область;192.59;105.11;13.73;63.9;128.56;96.94;13.52;63.23
Рязанская область;391.74;126.51;35.31;81.48;292.64;133.48;35.31;81.48
Смоленская область;314.33;101.57;35.04;88.35;236.71;100.94;29.3;88.57
Тамбовская область;221.57;91.51;16.66;67.01;180.39;85.61;16.56;71.42
Тверская область;534.13;90.78;39.17;32.91;513.38;118.96;35.39;48.88
Тульская область;458.48;80.59;50.23;73.53;401.44;92.97;43.07;63.13
Ярославская область;515.13;92.88;49.61;77.65;399.41;114.31;44.29;83.53
г.Москва;2823.91;125.86;256.88;50.57;396.69;89.67;29.7;42.09
Северо-Западный федеральный округ;6154.45;97.16;770.71;86.85;4009.06;113.0;427.0;90.1
Республика Карелия;224.71;118.05;27.2;102.96;172.08;113.57;16.35;90.7
Республика Коми;118.82;96.91;10.01;77.46;85.1;103.16;9.64;74.59
Архангельская область;264.02;89.09;27.55;75.38;157.31;107.89;15.85;75.89
Ненецкий АО;20.59;104.83;1.31;28.64;11.37;99.65;0.84;45.22
Архангельская область (кроме Ненецкого АО);243.43;87.97;26.24;82.07;145.94;108.59;15.01;78.89
Вологодская область;527.3;122.26;53.84;81.86;401.0;133.69;32.1;78.76
Калининградская область;553.06;88.61;84.56;137.15;426.57;110.22;51.34;99.66
Ленинградская область;2522.12;97.57;311.82;76.9;2235.19;111.31;245.12;93.32
Мурманская область;74.48;146.23;5.35;71.23;70.89;157.63;5.35;81.67
Новгородская область;254.28;127.28;21.02;72.06;213.51;135.32;21.02;86.08
Псковская область;163.04;74.1;28.61;110.08;114.73;67.1;16.86;74.57
г.Санкт-Петербург;1452.62;90.01;200.76;92.99;132.67;133.62;13.38;98.53
Южный федеральный округ;7728.93;101.12;941.94;81.9;5427.35;95.77;575.67;71.52
Республика Адыгея (Адыгея);374.85;108.54;53.91;134.24;247.64;96.89;30.41;78.8
Республика Калмыкия;59.69;97.58;11.73;107.88;55.84;98.42;11.73;113.94
Республика Крым;819.42;97.86;93.86;92.29;721.49;104.61;75.5;78.34
Краснодарский край;3696.25;98.85;409.54;63.94;2378.1;92.38;248.04;69.04
Астраханская область;510.06;136.42;75.85;135.43;421.68;125.13;44.24;79.0
Волгоградская область;694.31;107.71;75.13;77.38;477.39;126.11;46.9;72.09
Ростовская область;1409.12;95.15;198.98;114.08;959.99;77.92;95.9;64.0
г.Севастополь;165.22;102.7;22.93;77.9;165.22;115.35;22.93;77.9
Северо-Кавказский федеральный округ;4297.29;72.42;637.14;97.93;3172.4;65.31;490.73;113.66
Республика Дагестан;925.27;40.93;151.05;90.3;688.77;35.32;120.68;154.74
Республика Ингушетия;111.16;87.54;5.57;17.24;96.32;114.65;5.57;44.48
Кабардино-Балкарская Республика;372.18;106.49;57.98;89.37;315.71;116.23;32.78;86.37
Карачаево-Черкесская Республика;202.77;90.77;29.75;93.35;190.01;94.63;17.06;61.83
Республика Северная Осетия-Алания;334.68;88.1;18.13;58.25;151.92;83.03;16.0;79.81
Чеченская Республика;947.66;71.82;229.77;174.81;823.46;66.24;216.11;164.42
Ставропольский край;1403.57;110.18;144.89;75.58;906.2;97.94;82.53;66.44
Приволжский федеральный округ;10501.22;89.26;1466.42;101.48;7583.36;88.48;1008.5;99.04
Республика Башкортостан;1231.8;75.94;206.43;85.58;1054.47;77.51;156.78;68.75
Республика Марий Эл;226.8;82.51;35.71;81.63;163.0;86.14;20.39;82.36
Республика Мордовия;118.44;69.3;20.15;119.38;97.0;68.09;14.56;90.51
Республика Татарстан (Татарстан);2599.43;100.46;367.37;219.49;1941.73;103.25;252.33;507.01
Удмуртская Республика;853.52;98.79;101.89;78.23;424.02;79.48;64.4;72.35
Чувашская Республика - Чувашия;510.25;113.34;55.83;148.03;295.49;134.01;20.83;71.91
Пермский край;1092.27;115.5;142.51;82.12;700.68;102.53;97.79;90.54
Кировская область;277.65;90.68;33.86;74.88;202.52;84.28;28.2;84.05
Нижегородская область;963.39;69.4;113.72;70.32;708.29;73.0;68.0;49.09
Оренбургская область;722.25;95.27;107.67;91.04;578.13;93.75;74.97;91.55
Пензенская область;421.92;77.52;73.26;117.92;265.63;88.97;40.8;106.44
Самарская область;801.55;73.04;123.71;94.2;615.04;73.45;97.98;97.39
Саратовская область;404.41;94.89;57.35;82.25;346.91;95.55;44.73;84.72
Ульяновская область;277.54;84.51;26.94;58.58;190.45;81.24;26.74;95.67
Уральский федеральный округ;5059.62;92.45;575.3;89.23;3515.65;102.99;343.54;82.52
Курганская область;264.67;112.66;31.05;75.92;164.29;95.77;15.75;75.21
Свердловская область;1838.99;93.37;195.48;76.4;1293.56;99.32;113.62;87.94
Тюменская область;1765.39;84.54;228.35;114.38;1118.35;103.24;129.86;89.44
Ханты-Мансийский АО-Югра;287.24;75.34;52.91;145.48;199.71;99.88;23.53;83.69
Ямало-Ненецкий АО;134.27;70.47;20.79;217.18;61.86;77.57;5.02;60.16
Тюменская область (без автономных округов);1343.87;88.63;154.65;100.62;856.79;106.62;101.31;93.17
Челябинская область;1190.58;100.88;120.42;81.16;939.45;109.72;84.31;69.69
Сибирский федеральный округ;5953.51;103.64;637.11;80.1;4519.58;116.48;441.77;79.57
Республика Алтай;242.87;151.71;22.95;106.06;240.54;164.25;22.95;106.84
Республика Тыва;375.78;192.65;18.61;48.82;320.66;183.69;11.48;30.1
Республика Хакасия;332.4;131.88;34.41;117.13;247.89;157.48;18.12;80.15
Алтайский край;549.73;87.91;48.44;74.28;422.54;97.44;38.88;60.01
Красноярский край;777.0;102.54;55.59;48.64;574.1;113.06;46.04;74.13
Иркутская область;1240.25;126.69;146.16;117.27;1107.48;131.94;117.14;115.67
Кемеровская область - Кузбасс;381.62;86.25;67.73;117.3;248.88;74.96;43.67;97.72
Новосибирская область;1375.92;88.95;151.86;68.01;810.71;114.96;78.73;69.03
Омская область;522.89;99.81;68.64;83.13;434.64;100.36;42.25;73.18
Томская область;155.05;59.2;22.71;59.03;112.15;74.4;22.5;79.51
Дальневосточный федеральный округ;2522.84;91.43;313.57;76.49;1709.15;96.85;197.16;82.78
Республика Бурятия;433.61;104.44;41.13;90.59;295.86;106.2;38.83;85.52
Республика Саха (Якутия);415.81;91.83;47.63;56.48;322.82;110.69;39.06;79.34
Забайкальский край;268.56;89.74;31.82;59.15;228.93;92.42;18.19;60.18
Камчатский край;50.37;110.19;6.3;115.84;46.64;104.1;6.3;129.96
Приморский край;764.29;95.17;117.85;125.25;446.43;100.89;47.26;89.03
Хабаровский край;308.16;115.53;30.79;87.6;157.63;105.49;18.67;124.94
Амурская область;125.37;45.51;13.94;22.63;102.62;70.07;13.94;76.79
Магаданская область;3.95;80.46;0.33;12.08;3.95;131.37;0.33;40.02
Сахалинская область;126.31;74.55;21.66;86.94;84.75;61.74;12.55;64.47
Еврейская автономная область;24.38;105.46;2.03;93.55;18.92;82.42;1.95;97.55
Чукотский АО;2.03;56.03;0.09;26.61;0.6;137.21;0.09;-
"1 без учета статистической информации по Донецкой Народной Республике (ДНР); Луганской Народной Республике (ЛНР); Запорожской и Херсонской областям.";;;;;;;;
