К содержанию,,,,,,,,
Строительство жилых домов по субъектам Российской Федерации в январе-июне 2025 года1,,,,,,,,
(тысяч квадратных метров общей площади жилых помещений),,,,,,,,
,"Введено, тыс кв м общей площади жилых помещений",,,,"Из общего объема - введено населением, тыс кв м общей площади жилых помещений",,,
,за январь-июнь 2025 года,в % к январю-июню 2024 года,в том числе за июнь 2025 года,в % к июню 2024 года,за январь-июнь 2025 года,в % к январю-июню 2024 года,в том числе за июнь 2025 года,в % к июню 2024 года
Российская Федерация,52155.76,97.62,7505.58,77.77,37270.7,98.4,4239.79,60.27
Центральный федеральный округ,15280.09,111.04,2252.68,79.52,10818.54,106.95,1184.61,57.95
Белгородская область,340.32,79.03,86.25,106.25,303.41,77.82,79.17,109.83
Брянская область,230.76,52.42,51.38,87.53,154.49,51.71,19.81,56.27
Владимирская область,504.01,86.99,76.66,90.22,439.62,86.08,44.3,61.28
Воронежская область,918.27,108.07,196.43,102.24,476.72,77.12,69.47,52.87
Ивановская область,296.73,129.44,20.58,58.59,254.27,137.26,20.58,74.78
Калужская область,501.32,92.6,49.42,39.64,459.88,107.7,49.42,58.42
Костромская область,236.56,131.53,26.83,64.81,188.45,128.45,13.65,50.37
Курская область,399.1,128.26,67.61,77.75,309.68,141.51,39.95,83.34
Липецкая область,248.49,87.37,66.79,165.65,207.55,82.2,29.72,73.86
Московская область,6649.31,114.58,974.41,67.95,5722.36,114.44,580.33,50.43
Орловская область,178.85,110.59,20.88,101.88,115.04,103.42,12.06,58.84
Рязанская область,356.43,133.84,57.19,86.67,257.33,146.29,27.7,85.41
Смоленская область,279.29,103.51,45.13,99.52,207.41,102.97,38.6,99.48
Тамбовская область,204.92,94.31,21.66,53.71,163.83,87.36,16.86,41.83
Тверская область,494.96,105.45,44.75,45.33,477.99,133.1,41.99,65.13
Тульская область,408.24,81.55,44.06,45.76,358.37,98.57,35.3,49.74
Ярославская область,465.52,94.87,44.3,54.71,355.12,119.82,38.56,101.21
г.Москва,2567.03,147.89,358.35,174.53,366.99,98.7,27.13,54.78
Северо-Западный федеральный округ,5383.74,98.84,648.33,79.47,3582.05,116.53,384.8,73.06
Республика Карелия,197.51,120.48,23.92,150.33,155.73,116.65,15.38,96.68
Республика Коми,108.82,99.2,11.76,70.86,75.47,108.46,10.93,79.15
Архангельская область,236.48,91.02,30.91,76.07,141.46,113.24,16.27,99.07
Ненецкий АО,19.28,127.98,1.26,129.0,10.53,110.27,1.26,129.0
Архангельская область (кроме Ненецкого АО),217.19,88.75,29.65,74.77,130.93,113.49,15.01,97.18
Вологодская область,473.45,129.53,46.5,68.41,368.9,142.33,29.74,60.79
Калининградская область,468.5,83.29,68.37,74.56,375.23,111.84,56.33,86.6
Ленинградская область,2210.3,101.41,268.93,77.67,1990.06,114.02,202.21,68.07
Мурманская область,69.13,159.19,6.11,138.1,65.54,170.57,6.11,138.1
Новгородская область,233.25,136.72,33.85,161.65,192.49,144.33,21.65,103.4
Псковская область,134.43,69.28,20.25,45.46,97.88,65.96,14.94,48.91
г.Санкт-Петербург,1251.86,89.55,137.74,82.56,119.29,139.18,11.24,82.5
Южный федеральный округ,6786.99,104.52,1105.29,80.82,4851.68,99.78,611.7,62.45
Республика Адыгея (Адыгея),320.93,105.16,47.33,98.54,217.23,100.11,30.07,73.17
Республика Калмыкия,47.95,95.35,8.56,61.71,44.1,94.98,7.57,64.93
Республика Крым,725.57,98.63,76.92,55.6,645.99,108.88,67.02,63.01
Краснодарский край,3286.71,106.06,502.93,72.11,2130.06,96.17,284.95,58.7
Астраханская область,434.21,136.6,44.33,48.6,377.44,134.32,44.24,79.82
Волгоградская область,619.18,113.09,136.76,152.28,430.49,137.31,44.29,63.24
Ростовская область,1210.14,92.62,267.5,107.62,864.08,79.84,112.59,60.26
г.Севастополь,142.29,108.25,20.98,52.06,142.29,125.04,20.98,92.63
Северо-Кавказский федеральный округ,3660.15,69.28,594.47,59.74,2681.66,60.59,357.64,40.09
Республика Дагестан,774.22,36.99,149.33,35.37,568.09,30.35,98.64,25.65
Республика Ингушетия,105.59,111.54,10.81,85.24,90.75,126.95,8.33,65.69
Кабардино-Балкарская Республика,314.2,110.39,23.66,46.69,282.94,121.08,23.66,53.27
Карачаево-Черкесская Республика,173.02,90.34,15.46,51.55,172.95,99.86,15.46,51.55
Республика Северная Осетия-Алания,316.55,90.77,33.42,87.47,135.91,83.42,12.41,39.28
Чеченская Республика,717.89,60.42,154.28,63.91,607.35,54.63,132.06,54.7
