Индекс производства (оперативные данные) (ОКВЭД2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
,,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
,,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года,К соответствующему периоду предыдущего года
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,97.7,96.2,96.5,90.2,85.6,87.5,88.7,89.6,90,90.4,90.5,90.6,92,93.1,93.3,99.6,105,102.7,101.8,101.1,100.7,100.4,100.2,100,96,97,97.8,97.7,97.6,97.6,97.6,97.7,97.6,97.6,97.6,97.5
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Добыча прочих полезных ископаемых,142.6,224.1,162.7,123,120.1,112.3,125.2,149.2,148.9,160.7,167,169.6,78.4,51.5,50.9,89.4,95.7,92.8,113.4,98.6,95.6,93.4,94.5,92.8,180.6,187.2,226.2,132.9,120.7,125,87,93.8,95.2,94.4,93,93.5
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Предоставление услуг в области добычи полезных ископаемых,171.6,134.4,140.4,144.3,144.7,151.5,145.8,137.7,129.2,126.8,120.5,118.2,111.1,116.7,114,107,103.1,98.5,105,108.8,112.3,114.6,117.7,120,114.5,121.2,130.4,125.7,124.3,127,123,121.1,118.1,116.6,114.8,112.4
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,107.4,106.8,103.4,96.8,99.9,98.8,96.5,96,95.5,95.9,96.6,96.7,99.7,102.9,107.5,114.9,113.8,114.4,115.3,115.2,115.3,115.4,114.6,113.8,105.4,106.5,105.1,104.9,104.8,102.2,101.4,101.9,101.5,100.8,99.9,99.6
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство пищевых продуктов,104.1,101.9,100.9,99.1,100.4,101.3,101.6,101.4,100.9,100.5,101.2,101.3,113.7,114.6,116.6,115.4,115.1,114.6,114.1,113.5,114.4,115.4,115.6,115.3,117.9,116.1,110.6,112.8,112.4,112.2,111.3,111.2,109.8,109.6,108.4,108.4
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство напитков,101.3,120.2,122.4,121,118.8,118,122.9,125.9,125.6,123.5,123.5,121,132.7,114.8,117.8,114,112.6,109.4,109.4,108,106.8,107.2,105.7,103.9,80.4,80.2,81.4,86.5,88,88.1,87.6,85.7,85.5,86.4,86.9,89.6
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство текстильных изделий,123.9,81.6,66.2,57,65.7,63.9,54.9,56.6,50.9,49.3,48.9,51.8,48.6,67.6,62.3,76.3,57.2,52.6,54.1,54.6,57.9,56.4,55.3,53.8,153.8,72.3,72.3,62.6,68.4,71.3,90.2,86.4,95.7,101.3,106,101.1
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство одежды,121,133.5,134.7,127.1,129.2,129.6,129.8,128.6,129.8,130,128.5,126.1,56.9,55.5,57.4,50.9,53.1,49.4,49.4,50,49.2,50.2,51.4,52.5,107,103.6,93.4,106.7,94.7,94.1,91.1,89.6,91.9,93.8,92.8,91.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство кожи и изделий из кожи,138.3,129.6,177.1,199,174.6,168.2,140.4,114.3,98.8,97,87.5,75.1,93.4,93.9,98.1,99.8,115.7,107.1,112.4,115.8,111.7,108.4,110,110.9,127.8,149.3,123.6,105.9,96.9,86.6,84.5,85.3,89.9,89.7,87.6,86.8
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),"Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",90.1,96.9,78,76.8,74.9,71.6,68.2,62.5,60.8,59.8,59.6,59.2,56.1,58.9,80.4,83.8,89.6,95.1,100.8,104.6,108.3,111.8,114.3,110.6,251.8,207.2,177.8,159.7,151.2,144.5,146,147.3,148.7,149.6,147.7,145.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Производство бумаги и бумажных изделий,112.3,126.4,136.1,119.8,127.4,123.9,118.5,115.2,112.9,113.3,108.5,109.2,101.5,79.9,75,81.1,75.7,79.7,85.6,88.6,89.3,90.1,93.8,93.2,82.5,104.6,106.3,112,121.1,116.3,114.6,113.3,111.9,112.2,109.7,108.5
