Ожидаемая продолжительность жизни при рождении,,,,,,,,,,,,,,,,
,,,,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,,,,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год,значение показателя за год
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Женщины,все население,год,75.63,75.73,76.3,76.4,76.6,76.97,77.93,78.16,78.52,77.34,75.83,78.7,79.85
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Женщины,городское население,год,76.42,76.68,77.72,77.45,77.61,78.16,78.96,78.99,79.57,78.38,76.75,79.63,80.9
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Женщины,сельское население,год,74.34,74.21,74.17,74.66,74.82,74.83,76.03,76.6,76.51,75.23,74,76.88,77.81
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Мужчины,все население,год,63.38,63.47,64.33,64.7,65.14,65.78,66.94,66.92,67.96,66.62,65.91,68.11,68.6
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Мужчины,городское население,год,64.39,64.66,65.91,65.73,66.28,66.98,68.28,68.24,69.1,67.6,66.74,69.38,69.79
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Мужчины,сельское население,год,61.8,61.63,61.88,62.99,63.17,63.82,64.64,64.62,66.04,64.82,64.44,65.89,66.48
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Оба пола,все население,год,69.45,69.55,70.31,70.56,70.91,71.43,72.55,72.65,73.41,72.08,70.96,73.59,74.39
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Оба пола,городское население,год,70.55,70.85,72.04,71.82,72.2,72.83,73.94,73.97,74.72,73.31,72.04,74.93,75.77
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Оба пола,сельское население,год,67.71,67.53,67.66,68.53,68.7,69.06,70.08,70.27,71.07,69.77,68.96,71.12,71.84
