Индексы потребительских цен на товары и услуги,,,
,,2024,2025
,,март,март
,,Период с начала года к соответствующему периоду предыдущего года,Период с начала года к соответствующему периоду предыдущего года
Российская Федерация без учета новых субъектов (с 01.01.2023),Продовольственные товары,108.1,111.74
Центральный федеральный округ,Продовольственные товары,107.41,110.8
Белгородская область,Продовольственные товары,108.75,112.69
Брянская область,Продовольственные товары,109.17,112.81
Владимирская область,Продовольственные товары,108.49,112.29
Воронежская область,Продовольственные товары,107.42,113.67
Ивановская область,Продовольственные товары,107.78,113.02
Калужская область,Продовольственные товары,109.14,112.11
Костромская область,Продовольственные товары,108.36,111.62
Курская область,Продовольственные товары,107.39,113.7
Липецкая область,Продовольственные товары,108.32,113.41
Московская область,Продовольственные товары,107.07,111.67
Орловская область,Продовольственные товары,108,112.68
Рязанская область,Продовольственные товары,108.1,112.11
Смоленская область,Продовольственные товары,108.95,111.37
Тамбовская область,Продовольственные товары,107.82,115.12
Тверская область,Продовольственные товары,106.7,113.89
Тульская область,Продовольственные товары,109.96,112.64
Ярославская область,Продовольственные товары,106.97,112.2
Город Москва столица Российской Федерации город федерального значения,Продовольственные товары,106.89,108.82
Северо-Западный федеральный округ,Продовольственные товары,106.93,111.99
Республика Карелия,Продовольственные товары,109.09,111.71
Республика Коми,Продовольственные товары,106.35,109.94
Архангельская область,Продовольственные товары,106.68,110.24
Ненецкий автономный округ (Архангельская область),Продовольственные товары,105.17,109.64
Архангельская область (кроме Ненецкого автономного округа),Продовольственные товары,106.78,110.27
Вологодская область,Продовольственные товары,107.63,111.45
Калининградская область,Продовольственные товары,109.17,114.83
Ленинградская область,Продовольственные товары,106.42,113.21
Мурманская область,Продовольственные товары,107.74,112.13
Новгородская область,Продовольственные товары,106.93,111.12
Псковская область,Продовольственные товары,108.06,108.77
Город Санкт-Петербург город федерального значения,Продовольственные товары,106.41,112.1
Южный федеральный округ (с 29.07.2016),Продовольственные товары,109.27,113.23
Республика Адыгея (Адыгея),Продовольственные товары,110.2,108.42
Республика Калмыкия,Продовольственные товары,109.04,113.03
Республика Крым,Продовольственные товары,109.78,114.39
Краснодарский край,Продовольственные товары,109.49,113.33
Астраханская область,Продовольственные товары,109,112.03
Волгоградская область,Продовольственные товары,108.7,111.64
Ростовская область,Продовольственные товары,108.94,114.03
Город федерального значения Севастополь,Продовольственные товары,109.83,115.13
Северо-Кавказский федеральный округ,Продовольственные товары,110.25,113.7
Республика Дагестан,Продовольственные товары,112.62,115.4
Республика Ингушетия,Продовольственные товары,108.64,110.84
Кабардино-Балкарская Республика,Продовольственные товары,108,112.76
Карачаево-Черкесская Республика,Продовольственные товары,108.47,111.86
Республика Северная Осетия-Алания,Продовольственные товары,109.46,112.18
Чеченская Республика,Продовольственные товары,108.23,109.93
Ставропольский край,Продовольственные товары,108.64,114.76
Приволжский федеральный округ,Продовольственные товары,108,112.52
Республика Башкортостан,Продовольственные товары,107.91,111.96
Республика Марий Эл,Продовольственные товары,108.46,113.33
Республика Мордовия,Продовольственные товары,106.03,110.39
Республика Татарстан (Татарстан),Продовольственные товары,108.26,113.57
Удмуртская Республика,Продовольственные товары,108.31,112.9
Чувашская Республика - Чувашия,Продовольственные товары,108.18,113.95
Пермский край,Продовольственные товары,107.91,112.97
Кировская область,Продовольственные товары,109.64,112.9
Нижегородская область,Продовольственные товары,108.03,110.86
Оренбургская область,Продовольственные товары,107.45,112.89
Пензенская область,Продовольственные товары,107.79,113.25
Самарская область,Продовольственные товары,107.98,113.23
Саратовская область,Продовольственные товары,108.49,111.92
Ульяновская область,Продовольственные товары,106.37,111.37
Уральский федеральный округ,Продовольственные товары,107.64,110.77
Курганская область,Продовольственные товары,109.1,111.72
Свердловская область,Продовольственные товары,107.59,112.3
Тюменская область,Продовольственные товары,106.97,109.78
Ханты-Мансийский автономный округ - Югра (Тюменская область),Продовольственные товары,107.04,111.07
Ямало-Ненецкий автономный округ (Тюменская область),Продовольственные товары,106.19,107.97
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Продовольственные товары,107.33,108.96
Челябинская область,Продовольственные товары,108.42,109.95
Сибирский федеральный округ (с 03.11.2018),Продовольственные товары,109.23,111.95
Республика Алтай,Продовольственные товары,109.63,110.9
Республика Тыва,Продовольственные товары,110.34,111.59
Республика Хакасия,Продовольственные товары,109.46,112.6
Алтайский край,Продовольственные товары,109.81,112
Красноярский край,Продовольственные товары,109.32,111.91
Иркутская область,Продовольственные товары,109.27,111.44
Кемеровская область - Кузбасс,Продовольственные товары,109.69,111.3
Новосибирская область,Продовольственные товары,108.8,112.76
Омская область,Продовольственные товары,108.76,111.93
Томская область,Продовольственные товары,108.56,112.49
Дальневосточный федеральный округ (с 03.11.2018),Продовольственные товары,108.8,110.37
Республика Бурятия,Продовольственные товары,110.05,112.53
Забайкальский край,Продовольственные товары,108.09,109.96
Республика Саха (Якутия),Продовольственные товары,107.47,109.99
Камчатский край,Продовольственные товары,107.66,112.24
Приморский край,Продовольственные товары,109.83,110.37
Хабаровский край,Продовольственные товары,109.35,109.42
Амурская область,Продовольственные товары,108.01,111.5
Магаданская область,Продовольственные товары,107.31,107.14
Сахалинская область,Продовольственные товары,108.32,110.92
Еврейская автономная область,Продовольственные товары,108.92,108.83
Чукотский автономный округ,Продовольственные товары,106.79,105.47
