Индексы потребительских цен на товары и услуги,,
,,2024
,,декабрь
,,К декабрю предыдущего года
Российская Федерация без учета новых субъектов (с 01.01.2023),Продовольственные товары,111.05
Центральный федеральный округ,Продовольственные товары,111.39
Белгородская область,Продовольственные товары,112.38
Брянская область,Продовольственные товары,110.87
Владимирская область,Продовольственные товары,110.78
Воронежская область,Продовольственные товары,111.93
Ивановская область,Продовольственные товары,111.17
Калужская область,Продовольственные товары,110.78
Костромская область,Продовольственные товары,110.52
Курская область,Продовольственные товары,112.31
Липецкая область,Продовольственные товары,112.73
Московская область,Продовольственные товары,111.21
Орловская область,Продовольственные товары,111.75
Рязанская область,Продовольственные товары,111.05
Смоленская область,Продовольственные товары,111.14
Тамбовская область,Продовольственные товары,113.6
Тверская область,Продовольственные товары,112.16
Тульская область,Продовольственные товары,111.72
Ярославская область,Продовольственные товары,112.22
Город Москва столица Российской Федерации город федерального значения,Продовольственные товары,111.2
Северо-Западный федеральный округ,Продовольственные товары,110.59
Республика Карелия,Продовольственные товары,110.5
Республика Коми,Продовольственные товары,108.11
Архангельская область,Продовольственные товары,108.56
Ненецкий автономный округ (Архангельская область),Продовольственные товары,107.03
Архангельская область (кроме Ненецкого автономного округа),Продовольственные товары,108.62
Вологодская область,Продовольственные товары,109.33
Калининградская область,Продовольственные товары,112.4
Ленинградская область,Продовольственные товары,111.43
Мурманская область,Продовольственные товары,111.55
Новгородская область,Продовольственные товары,109.81
Псковская область,Продовольственные товары,107.71
Город Санкт-Петербург город федерального значения,Продовольственные товары,110.99
Южный федеральный округ (с 29.07.2016),Продовольственные товары,111.76
Республика Адыгея (Адыгея),Продовольственные товары,107.23
Республика Калмыкия,Продовольственные товары,113.22
Республика Крым,Продовольственные товары,112.18
Краснодарский край,Продовольственные товары,111.89
Астраханская область,Продовольственные товары,110.13
Волгоградская область,Продовольственные товары,110.9
Ростовская область,Продовольственные товары,112.48
Город федерального значения Севастополь,Продовольственные товары,112.95
Северо-Кавказский федеральный округ,Продовольственные товары,113.25
Республика Дагестан,Продовольственные товары,114.39
Республика Ингушетия,Продовольственные товары,110.14
Кабардино-Балкарская Республика,Продовольственные товары,112.5
Карачаево-Черкесская Республика,Продовольственные товары,111.79
Республика Северная Осетия-Алания,Продовольственные товары,112.94
Чеченская Республика,Продовольственные товары,109.98
Ставропольский край,Продовольственные товары,113.69
Приволжский федеральный округ,Продовольственные товары,111.2
Республика Башкортостан,Продовольственные товары,110.31
Республика Марий Эл,Продовольственные товары,112.02
Республика Мордовия,Продовольственные товары,109.28
Республика Татарстан (Татарстан),Продовольственные товары,112.41
Удмуртская Республика,Продовольственные товары,112.32
Чувашская Республика - Чувашия,Продовольственные товары,112.83
Пермский край,Продовольственные товары,111.53
Кировская область,Продовольственные товары,111.85
Нижегородская область,Продовольственные товары,110.31
Оренбургская область,Продовольственные товары,110.6
Пензенская область,Продовольственные товары,111.63
Самарская область,Продовольственные товары,111.16
Саратовская область,Продовольственные товары,111.06
Ульяновская область,Продовольственные товары,109.68
Уральский федеральный округ,Продовольственные товары,109.95
Курганская область,Продовольственные товары,110.91
Свердловская область,Продовольственные товары,111.34
Тюменская область,Продовольственные товары,108.7
Ханты-Мансийский автономный округ - Югра (Тюменская область),Продовольственные товары,109.73
Ямало-Ненецкий автономный округ (Тюменская область),Продовольственные товары,108.23
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Продовольственные товары,107.59
Челябинская область,Продовольственные товары,109.77
Сибирский федеральный округ (с 03.11.2018),Продовольственные товары,110.26
Республика Алтай,Продовольственные товары,110.24
Республика Тыва,Продовольственные товары,110.4
Республика Хакасия,Продовольственные товары,110.41
Алтайский край,Продовольственные товары,109.95
Красноярский край,Продовольственные товары,110.52
Иркутская область,Продовольственные товары,109.91
Кемеровская область - Кузбасс,Продовольственные товары,109.61
Новосибирская область,Продовольственные товары,110.93
Омская область,Продовольственные товары,110.34
Томская область,Продовольственные товары,110.4
Дальневосточный федеральный округ (с 03.11.2018),Продовольственные товары,109.35
Республика Бурятия,Продовольственные товары,112.27
Забайкальский край,Продовольственные товары,108.86
Республика Саха (Якутия),Продовольственные товары,108.69
Камчатский край,Продовольственные товары,111.35
Приморский край,Продовольственные товары,109.64
Хабаровский край,Продовольственные товары,108.92
Амурская область,Продовольственные товары,108.55
Магаданская область,Продовольственные товары,105.08
Сахалинская область,Продовольственные товары,109.61
Еврейская автономная область,Продовольственные товары,107.6
Чукотский автономный округ,Продовольственные товары,105.04
