Численность населения с денежными доходами ниже границы бедности/величины прожиточного минимума,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,в процентах от общей численности населения,,Вернуться в Общее описание
,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
Российская Федерация,24.8,22.1,20.8,23.4,28.4,29,27.5,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.8,10.8,11.3,13.5,13.3,13,12.7,12.4,12.2,11.1,9,8.3,7.2,,
Центральный федеральный округ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Белгородская область,19.9,17.6,18.9,20.1,24.2,33.6,29.1,25.4,22.9,20.7,18.1,15.1,12.5,10,10.1,8.2,8.6,6.5,7.6,7.7,8.5,8.1,7.8,7.5,7.8,7.2,7,6,5.6,4.4,,
Брянская область,22.7,19.2,18.4,25.3,39.6,42.3,35.8,31.2,26.7,25.2,20,19.4,18.3,15.7,15.2,13.5,12.6,10.5,12.6,13.2,14.1,14.4,14.2,13.6,13.8,13.6,13,11.4,11.2,9.1,,
Владимирская область,27.6,26.7,23.9,27.7,37.5,44.7,40.7,35.3,30.3,29.7,29.5,25.5,23.1,19.9,19.5,17.3,17.5,15,14.1,14.2,14.7,14.6,13.2,13.1,12.7,12.6,12,9.8,9.3,7.5,,
Воронежская область,23.1,25.1,20.2,20.1,29.4,41.9,36.6,33.8,28.9,25.4,23.7,20.2,20,18.2,20.1,18.4,17.2,10.3,9.4,9.2,9.5,9.4,9,8.9,8.9,8.5,7.9,6.9,6.7,5.4,,
Ивановская область,33.3,31.4,26.5,30,59.5,68.4,68.2,60.8,53.3,47.6,41.3,34.6,31.6,22.6,22.7,20.1,19,13.8,14.2,14.4,15.7,14.5,13.9,14.2,13.6,13.1,12.2,10.2,9.5,8.1,,
Калужская область,26.6,24.5,24.7,24.2,42.3,45.5,40.3,35,29.6,23.2,19.9,17.4,14,12.9,12.3,11.3,11.1,8.5,9.5,9.9,11.1,10.6,10.4,10.8,10.7,10.2,9.4,7.5,7.1,5.9,,
Костромская область,29.9,21.2,19.3,25.3,38.3,37.5,36.6,35.5,33.1,28.4,23.2,18.9,18.4,18.2,19,15.7,16.5,15.1,14,13.3,13.9,13.2,12.9,12.1,11.9,11.8,11,9.5,8.7,8,,
Курская область,19.9,24.9,22.1,25.1,36.6,42.2,39.5,33.7,30.7,24.9,20.2,15.3,12.5,11.1,11.7,10.8,10.4,8.2,9.6,9.2,10.4,10.5,10.3,9.9,9.9,9.9,9.1,7.7,7.4,6.3,,
Липецкая область,18.6,17.3,17.5,19.4,30.7,30.9,24.8,25.8,22.2,19.1,15.4,11.6,10.9,10.5,9.9,9.9,10.6,8.4,7.9,8.3,9.3,9.3,8.9,8.8,8.7,8.6,8.3,7,6.7,6,,
Московская область,31.7,24,20.3,22.3,27.7,35.2,30.9,27.4,26.1,21.8,18.4,13,11,9.3,10.6,10.1,9.6,7.2,7.9,8,8.8,8.3,8.5,7.9,7.9,7.4,6.6,6,5.5,4.9,,
Орловская область,22.7,20.1,21.4,25.1,34.6,41.6,35.1,30.6,28,24.3,23.5,20.8,19.4,16.3,17.5,14.7,14.5,11.3,13.3,13.5,14.5,14.2,13.9,13.5,13.6,12.9,12.1,10.9,9.5,6.9,,
Рязанская область,24.4,23.4,21.2,28.4,46.9,49.3,38.3,31.3,27.7,27.9,22.7,20.5,17.3,14.6,15.9,15,16,12.5,12.3,11,13,12.8,13.3,13,12.7,12.9,12.5,10.9,10.5,9.4,,
Смоленская область,19.5,20.3,18,22.9,32,29.8,27,25.2,23.4,21.2,18.1,19.7,18,14.9,15.4,15.2,17.3,14.8,15.7,15.7,17.4,17.6,16.7,16.1,16,15.3,14,12.3,10.7,8.1,,
Тамбовская область,21.7,22.6,20.7,24.4,30.7,45.9,36.5,27.2,22.9,21.3,16.9,15,13.7,11.3,11.9,10.8,10.7,9.4,8.2,9.6,10.7,10.6,10.4,9.8,10.7,10.8,10.5,10.3,9.8,7.9,,
Тверская область,28,23.4,22.1,27.8,51.7,51.5,46.9,38.7,33.7,26.2,18.6,13.9,14.8,13.9,14.1,13.2,13.5,11.4,11.6,11.6,13,12.8,12.4,12.2,11.7,11.4,10.8,9.3,8.6,6.9,,
Тульская область,16.2,16.8,15.8,22,34.2,32.2,25.9,21.8,20.5,20.1,17.4,14.8,14.5,13.1,12.5,11,10.9,9.5,9.7,9.9,10.8,10.2,10.2,10.3,10.6,10.5,10.1,9.1,8.4,6.5,,
Ярославская область,21.3,20.4,18.5,22.5,27,30.7,26.8,21.4,19.2,16.5,17.2,13.4,14.8,14.1,15.6,12.8,13.4,10.9,10.8,10.3,10.8,11,10.6,10.1,10.2,9.8,8.7,8.1,7.4,6.7,,
Город Москва,19.2,18,16.5,16.4,22.4,23.6,21.8,20.7,18.6,14.7,13.3,13.5,11.9,12.5,10.3,10,10,9.4,8.7,8.8,8.9,8.5,7.6,6.7,6.5,6.1,5.7,4.8,4.4,4.1,,
Северо-Западный федеральный округ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Республика Карелия,23,20.5,19,22.9,25.4,22.3,23,18.8,18.9,18.1,15.9,14.6,16,15.6,15.8,14.9,15.7,13.4,13.1,13.6,15.4,15.7,15.3,14.2,14.1,13.5,12.8,11.1,10.2,8.4,,
Республика Коми,18.4,19.3,14.8,16.1,20.9,26.3,21,19.4,18.4,16.7,14.9,14.6,13.8,15.1,16.5,15.6,16.3,13.2,13.7,14.5,15.1,15.4,14.9,14,14.5,14.2,14,11.7,11.2,10.3,,
Архангельская область,26.2,26.8,23.9,31.6,42.6,33.5,27.4,26.5,23.5,19.6,17.5,17.2,15.9,14.4,13.6,14,14.4,13.1,14.3,14.4,15.9,14.5,13.6,12.7,12.7,11.8,11.3,10,9,8.5,,
в том числе: Ненецкий автономный округ,,,,,,37.9,26.9,21.5,8.3,8.2,9,8,5.7,5.6,7.3,7.5,7.7,6.5,7.7,8.7,9.1,9.8,10.2,9.2,8.9,8.8,8.7,7.6,7.2,6.4,,
Архангельская область без авт. округа,,,,,,,,,,,,,,,,,,12.9,14.2,14.1,15.6,14.3,13.2,11.8,11.8,11.4,10.7,9.2,8.5,8.1,,
Вологодская область,19.9,21.1,18.6,22.7,33.5,25.5,23.1,22.8,20,17.9,18.3,16.5,14.8,15.7,18.2,16.8,17.1,13.2,14,13.5,14.5,13.8,13.9,13.5,12.9,12.8,12.4,10.5,9.7,8.1,,
Калининградская область,27.2,25.6,25,25.5,30.2,37.7,39.1,39.6,28,25.4,19.9,14.2,12.4,13.6,13.1,12.4,12.7,10.8,12.7,12.4,13.6,14.1,13.8,13.6,13.5,13.5,13.4,10.8,10.2,9.1,,
Ленинградская область,29.5,24.1,24.7,35.5,53.1,50.9,48.1,42.1,37,24.8,21.1,14.9,13.2,13.5,14.1,12.6,13,11.9,10.8,10,10.5,10,9.3,8.7,9.1,9.1,8.3,7,6.4,5.4,,
Мурманская область,22,18.1,16.4,17.9,21.3,24.9,22.3,22.6,21.1,19.4,19.1,17.4,14.6,13.8,13.5,13.2,13.6,11,10.8,10.7,12.3,11.5,10.8,9.4,9.9,9.4,8.6,7,6.5,6.1,,
Новгородская область,22.8,17.2,17.6,17.7,32.7,34.2,31.4,30.8,27.7,26.7,23.8,19.9,20.3,17.8,16.5,14.9,15,11.7,12.6,12.6,13.9,14.8,13.9,13.6,13.8,13.6,12.9,11.6,10.8,8.7,,
Псковская область,42.7,32.4,27.4,34.1,47,44.8,37.5,27.5,20.9,18.2,19.2,18.3,16.9,15.9,16.2,15.6,16.7,15.4,15.9,15.8,18.8,18.7,17.4,16.7,15.9,15.8,14.2,13.1,12.1,9.9,,
Город Санкт-Петербург,20.1,22.6,23.2,24.7,33.1,27.3,23.8,21.2,15.7,13,10.3,10.1,9.6,11.5,9.4,8.6,9.1,9,8.3,8.8,8.7,8.5,7.5,6.7,6.6,6.1,5.2,4.6,4.4,3.5,,
Южный федеральный округ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Республика Адыгея,46.5,37.7,34.5,38.3,43,37.2,41.3,34.6,34.6,33.6,33,32.7,30.1,23.9,18.4,16,14.6,11.3,12.2,11.2,14.3,13.8,13.5,13.4,13.2,13.2,12.2,12.3,11.1,8.6,,
Республика Калмыкия,54.6,52.7,37.2,49.5,60.3,66.4,52.6,56.6,54,54.4,61.1,48.1,45.3,39.7,36.5,35.7,35.8,30.7,33.4,31.8,29.5,26.7,24.3,23.6,23.5,22.7,22.6,20.6,17.8,13.2,,
Республика Крым,,,,,,,,,,,,,,,,,,,,,23.1,23.3,19.4,17.3,17.4,17.5,16.5,14.2,13.8,11.4,,
