,0,1,2,3,4,5,6,7,8,9
0,,Численность,Численность,Численность,Из них безработных,Из них безработных,Из них безработных,Из них безработных,Из них безработных,Из них безработных
1,,не занятых трудовой,не занятых трудовой,не занятых трудовой,всего,всего,всего,"в том числе безработные,","в том числе безработные,","в том числе безработные,"
2,,деятельностью граждан,деятельностью граждан,деятельностью граждан,июль,справочно,справочно,которые получают,которые получают,которые получают
3,,июль,справочно,справочно,2025 г.,июль,июнь,пособие по безработице,пособие по безработице,пособие по безработице
4,,2025 г.,июль 2024 г.,июнь 2025 г.,,2024 г.,2025 г.,июль 2025 г.,справочно,справочно
5,,2025 г.,июль 2024 г.,июнь 2025 г.,,2024 г.,2025 г.,июль 2025 г.,июль 2024 г.,июнь 2025 г.
6,Российская Федерация,"374,2","437,1","357,6","297,1","361,0","289,3","227,9","290,4","225,5"
7,Центральный федеральный округ,"60,7","73,1","58,3","46,8","57,1","45,7","39,2","42,9","38,3"
8,Белгородская область,"2,4","2,8","2,2","1,9","2,2","1,9","1,7","1,9","1,7"
9,Брянская область,"2,2","2,6","2,1","1,9","2,2","1,9","1,8","2,0","1,7"
10,Владимирская область,"3,1","3,1","3,0","2,6","2,6","2,5","2,4","2,2","2,3"
11,Воронежская область,"6,1","6,2","5,7","5,1","5,2","4,9","4,5","4,3","4,4"
12,Ивановская область,"1,8","2,0","1,6","1,3","1,5","1,2","1,2","1,3","1,1"
13,Калужская область,"1,7","1,7","1,5","1,1","1,2","1,1","0,9","1,0","1,0"
14,Костромская область,"1,1","1,0","1,1","0,6","0,7","0,5","0,5","0,6","0,5"
15,Курская область,"1,6","2,2","1,6","1,3","1,6","1,4","1,2","1,4","1,3"
16,Липецкая область,"1,8","2,3","1,6","1,1","1,3","1,0","0,9","1,1","0,9"
17,Московская область,"6,9","8,0","6,8","5,5","6,8","5,4","4,4","4,9","4,3"
18,Орловская область,"1,4","1,3","1,3","1,1","1,1","1,1","1,0","0,9","1,0"
19,Рязанская область,"2,8","2,9","2,6","2,1","2,4","2,0","1,8","1,9","1,7"
20,Смоленская область,"2,4","3,1","2,2","2,0","2,5","1,9","1,8","2,0","1,7"
21,Тамбовская область,"1,4","1,8","1,4","1,2","1,5","1,2","1,1","1,3","1,1"
22,Тверская область,"3,3","3,2","3,1","2,7","2,6","2,6","2,3","2,2","2,2"
23,Тульская область,"1,9","1,9","1,6","1,2","1,2","1,1","1,0","0,9","0,9"
24,Ярославская область,"3,9","3,6","3,6","3,0","2,9","2,9","2,5","2,5","2,4"
25,г. Москва,"15,2","23,2","15,3","11,0","17,8","11,1","8,2","10,5","8,1"
